evaluations raw_y
1 25.0000000000
2 27.0000000000
5 32.0000000000
7 34.0000000000
1957 35.0000000000
11193 37.0000000000
15837 38.0000000000
26651 39.0000000000
26767 40.0000000000
41368 31.0000000000
evaluations raw_y
1 25.0000000000
2 31.0000000000
358 32.0000000000
377 33.0000000000
830 34.0000000000
842 35.0000000000
1052 36.0000000000
4178 38.0000000000
18327 39.0000000000
19807 40.0000000000
19809 41.0000000000
21138 42.0000000000
21231 43.0000000000
41370 22.0000000000
evaluations raw_y
1 23.0000000000
2 26.0000000000
8 28.0000000000
18 30.0000000000
1730 31.0000000000
1838 34.0000000000
2634 35.0000000000
2637 36.0000000000
3311 37.0000000000
3426 38.0000000000
4004 39.0000000000
4147 40.0000000000
4738 41.0000000000
4807 42.0000000000
6342 43.0000000000
6344 45.0000000000
41373 29.0000000000
evaluations raw_y
1 24.0000000000
4 26.0000000000
7 29.0000000000
15 30.0000000000
269 32.0000000000
418 33.0000000000
832 34.0000000000
877 35.0000000000
895 37.0000000000
899 38.0000000000
1608 39.0000000000
1662 40.0000000000
1803 41.0000000000
41368 30.0000000000
evaluations raw_y
1 33.0000000000
51 34.0000000000
52 35.0000000000
125 37.0000000000
1758 40.0000000000
41365 26.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
5 32.0000000000
3330 33.0000000000
3945 34.0000000000
4008 35.0000000000
4059 37.0000000000
4079 38.0000000000
4773 39.0000000000
4884 40.0000000000
4912 41.0000000000
41368 31.0000000000
evaluations raw_y
1 29.0000000000
8 30.0000000000
49 32.0000000000
223 35.0000000000
2387 36.0000000000
2389 37.0000000000
3412 38.0000000000
4025 39.0000000000
6328 41.0000000000
41369 18.0000000000
evaluations raw_y
1 31.0000000000
48 32.0000000000
53 33.0000000000
139 34.0000000000
219 37.0000000000
12588 38.0000000000
12595 39.0000000000
12661 40.0000000000
26647 41.0000000000
41367 24.0000000000
evaluations raw_y
1 25.0000000000
2 26.0000000000
7 30.0000000000
9 31.0000000000
12 33.0000000000
1847 35.0000000000
1940 37.0000000000
2391 38.0000000000
2472 39.0000000000
3432 42.0000000000
6321 43.0000000000
6398 44.0000000000
8902 45.0000000000
41372 28.0000000000
evaluations raw_y
1 23.0000000000
2 26.0000000000
4 27.0000000000
5 29.0000000000
171 30.0000000000
253 32.0000000000
1672 33.0000000000
1683 34.0000000000
1705 35.0000000000
3442 36.0000000000
3460 37.0000000000
5078 38.0000000000
5514 39.0000000000
5542 40.0000000000
5550 41.0000000000
5681 42.0000000000
41371 23.0000000000
evaluations raw_y
1 23.0000000000
2 29.0000000000
14 30.0000000000
121 32.0000000000
5562 34.0000000000
5685 35.0000000000
5803 36.0000000000
5845 37.0000000000
13684 38.0000000000
14094 39.0000000000
14102 40.0000000000
14167 41.0000000000
41367 23.0000000000
evaluations raw_y
1 23.0000000000
3 25.0000000000
4 26.0000000000
6 31.0000000000
1081 32.0000000000
1964 34.0000000000
2387 35.0000000000
2552 36.0000000000
3439 37.0000000000
5626 38.0000000000
7128 39.0000000000
18012 40.0000000000
18122 42.0000000000
41370 23.0000000000
evaluations raw_y
1 27.0000000000
5 32.0000000000
288 33.0000000000
1020 35.0000000000
1612 36.0000000000
1745 37.0000000000
1924 38.0000000000
2502 40.0000000000
41365 27.0000000000
evaluations raw_y
1 27.0000000000
7 29.0000000000
11 30.0000000000
227 31.0000000000
298 32.0000000000
407 33.0000000000
831 34.0000000000
842 35.0000000000
1964 36.0000000000
2400 37.0000000000
2435 39.0000000000
3372 40.0000000000
41367 21.0000000000
evaluations raw_y
1 28.0000000000
6 29.0000000000
14 33.0000000000
4124 34.0000000000
4322 35.0000000000
4733 36.0000000000
4756 38.0000000000
4758 39.0000000000
4850 40.0000000000
7072 41.0000000000
41370 26.0000000000
evaluations raw_y
1 23.0000000000
3 25.0000000000
7 26.0000000000
10 28.0000000000
19 29.0000000000
2711 31.0000000000
4789 32.0000000000
4823 33.0000000000
4912 34.0000000000
4914 35.0000000000
7269 36.0000000000
7853 37.0000000000
7867 38.0000000000
41371 22.0000000000
evaluations raw_y
1 18.0000000000
2 25.0000000000
3 30.0000000000
6 31.0000000000
1893 32.0000000000
1927 33.0000000000
2654 34.0000000000
2740 35.0000000000
12082 36.0000000000
17479 37.0000000000
18001 38.0000000000
18183 39.0000000000
41375 20.0000000000
evaluations raw_y
1 28.0000000000
2 29.0000000000
4 32.0000000000
121 33.0000000000
310 34.0000000000
329 37.0000000000
826 38.0000000000
941 39.0000000000
1005 40.0000000000
41365 28.0000000000
evaluations raw_y
1 22.0000000000
2 26.0000000000
6 30.0000000000
1042 31.0000000000
1091 33.0000000000
1142 34.0000000000
4311 35.0000000000
4317 36.0000000000
7090 37.0000000000
7283 38.0000000000
7431 39.0000000000
21987 40.0000000000
41370 26.0000000000
evaluations raw_y
1 25.0000000000
4 27.0000000000
11 32.0000000000
1199 33.0000000000
3233 34.0000000000
3362 35.0000000000
13553 36.0000000000
21925 37.0000000000
32255 39.0000000000
35310 40.0000000000
41372 30.0000000000
