evaluations raw_y
1 25.0000000000
5 26.0000000000
6 29.0000000000
1124 30.0000000000
1959 31.0000000000
2518 32.0000000000
2540 33.0000000000
2585 34.0000000000
9121 35.0000000000
9123 36.0000000000
9243 37.0000000000
9309 38.0000000000
20004 29.0000000000
evaluations raw_y
1 20.0000000000
2 32.0000000000
5674 33.0000000000
5697 34.0000000000
19995 26.0000000000
evaluations raw_y
1 28.0000000000
6 29.0000000000
35 30.0000000000
118 31.0000000000
437 32.0000000000
10979 33.0000000000
11060 34.0000000000
11127 35.0000000000
19998 26.0000000000
evaluations raw_y
1 29.0000000000
3 31.0000000000
33 32.0000000000
2862 33.0000000000
3041 34.0000000000
3097 35.0000000000
5624 36.0000000000
17723 37.0000000000
19998 32.0000000000
evaluations raw_y
1 30.0000000000
14 31.0000000000
314 32.0000000000
357 34.0000000000
6984 35.0000000000
8384 36.0000000000
19997 22.0000000000
evaluations raw_y
1 24.0000000000
2 25.0000000000
4 29.0000000000
381 30.0000000000
2477 31.0000000000
2498 32.0000000000
2520 36.0000000000
19999 27.0000000000
evaluations raw_y
1 25.0000000000
4 32.0000000000
7 35.0000000000
12984 37.0000000000
12985 38.0000000000
20001 23.0000000000
evaluations raw_y
1 26.0000000000
2 30.0000000000
1277 31.0000000000
1280 32.0000000000
1978 34.0000000000
2463 35.0000000000
19998 19.0000000000
evaluations raw_y
1 27.0000000000
3 32.0000000000
5106 34.0000000000
19998 29.0000000000
evaluations raw_y
1 20.0000000000
2 23.0000000000
3 27.0000000000
4 28.0000000000
6 29.0000000000
462 30.0000000000
565 31.0000000000
1522 32.0000000000
1547 33.0000000000
1664 35.0000000000
1705 36.0000000000
1767 37.0000000000
20005 20.0000000000
evaluations raw_y
1 22.0000000000
2 25.0000000000
5 31.0000000000
1577 32.0000000000
1605 33.0000000000
19998 19.0000000000
evaluations raw_y
1 27.0000000000
7 28.0000000000
12 30.0000000000
99 31.0000000000
323 32.0000000000
337 33.0000000000
401 34.0000000000
10965 35.0000000000
19997 29.0000000000
evaluations raw_y
1 26.0000000000
2 27.0000000000
3 29.0000000000
8 32.0000000000
1827 33.0000000000
8586 34.0000000000
8725 35.0000000000
8742 36.0000000000
20001 19.0000000000
evaluations raw_y
1 29.0000000000
4 30.0000000000
5 32.0000000000
542 33.0000000000
5221 34.0000000000
19994 28.0000000000
evaluations raw_y
1 25.0000000000
2 26.0000000000
3 32.0000000000
4120 33.0000000000
8147 34.0000000000
8845 35.0000000000
8862 36.0000000000
8883 37.0000000000
8906 38.0000000000
20004 24.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
877 29.0000000000
1996 30.0000000000
2358 32.0000000000
3138 33.0000000000
3383 34.0000000000
3645 35.0000000000
19998 21.0000000000
evaluations raw_y
1 31.0000000000
17 32.0000000000
59 33.0000000000
121 34.0000000000
8896 35.0000000000
8918 36.0000000000
8984 38.0000000000
9022 39.0000000000
19999 20.0000000000
evaluations raw_y
1 29.0000000000
15 30.0000000000
178 31.0000000000
561 32.0000000000
619 33.0000000000
743 35.0000000000
1659 36.0000000000
19998 29.0000000000
evaluations raw_y
1 23.0000000000
3 27.0000000000
8 33.0000000000
4019 34.0000000000
4068 35.0000000000
20000 22.0000000000
evaluations raw_y
1 26.0000000000
4 31.0000000000
2419 32.0000000000
2464 33.0000000000
2618 34.0000000000
2639 35.0000000000
2689 36.0000000000
3344 37.0000000000
14509 38.0000000000
20002 26.0000000000
