evaluations raw_y
1 23.0000000000
2 26.0000000000
3 27.0000000000
420 28.0000000000
436 29.0000000000
457 30.0000000000
478 31.0000000000
481 32.0000000000
502 33.0000000000
3123 34.0000000000
8209 35.0000000000
20002 28.0000000000
evaluations raw_y
1 20.0000000000
2 24.0000000000
3 25.0000000000
4 33.0000000000
1703 34.0000000000
1708 36.0000000000
20002 29.0000000000
evaluations raw_y
1 22.0000000000
2 27.0000000000
6 29.0000000000
900 30.0000000000
2623 32.0000000000
2826 34.0000000000
12929 35.0000000000
12987 36.0000000000
16106 39.0000000000
20002 25.0000000000
evaluations raw_y
1 26.0000000000
10 27.0000000000
34 28.0000000000
62 29.0000000000
3959 30.0000000000
3961 31.0000000000
6063 32.0000000000
8602 34.0000000000
11482 35.0000000000
19999 30.0000000000
evaluations raw_y
1 26.0000000000
2 27.0000000000
5 28.0000000000
10 31.0000000000
1156 32.0000000000
1160 33.0000000000
3121 34.0000000000
19997 24.0000000000
evaluations raw_y
1 25.0000000000
2 29.0000000000
5 31.0000000000
1280 32.0000000000
1805 33.0000000000
5279 34.0000000000
19747 35.0000000000
19998 30.0000000000
evaluations raw_y
1 22.0000000000
2 32.0000000000
9636 33.0000000000
9662 34.0000000000
19997 26.0000000000
evaluations raw_y
1 27.0000000000
2 28.0000000000
4 31.0000000000
5 32.0000000000
4315 34.0000000000
4342 35.0000000000
4382 36.0000000000
4779 37.0000000000
19998 26.0000000000
evaluations raw_y
1 26.0000000000
4 30.0000000000
557 31.0000000000
580 32.0000000000
641 34.0000000000
19999 25.0000000000
evaluations raw_y
1 29.0000000000
5 30.0000000000
9 31.0000000000
297 32.0000000000
376 33.0000000000
2162 34.0000000000
3782 35.0000000000
19997 23.0000000000
evaluations raw_y
1 27.0000000000
4 28.0000000000
5 31.0000000000
897 32.0000000000
919 33.0000000000
1561 34.0000000000
2860 35.0000000000
7885 36.0000000000
19200 37.0000000000
20000 24.0000000000
evaluations raw_y
1 27.0000000000
2 29.0000000000
20 31.0000000000
1223 32.0000000000
1261 33.0000000000
16059 34.0000000000
16223 36.0000000000
19997 30.0000000000
evaluations raw_y
1 24.0000000000
4 25.0000000000
6 26.0000000000
9 29.0000000000
459 30.0000000000
626 32.0000000000
1864 33.0000000000
4205 34.0000000000
4361 36.0000000000
4427 37.0000000000
20001 21.0000000000
evaluations raw_y
1 28.0000000000
14 29.0000000000
76 30.0000000000
81 31.0000000000
1938 32.0000000000
10786 33.0000000000
16467 34.0000000000
17486 35.0000000000
19999 27.0000000000
evaluations raw_y
1 21.0000000000
2 22.0000000000
3 24.0000000000
4 27.0000000000
5 31.0000000000
6 34.0000000000
10802 36.0000000000
20001 32.0000000000
evaluations raw_y
1 20.0000000000
2 26.0000000000
3 29.0000000000
4 30.0000000000
424 31.0000000000
844 33.0000000000
20000 25.0000000000
evaluations raw_y
1 27.0000000000
2 31.0000000000
499 32.0000000000
659 33.0000000000
704 34.0000000000
1304 35.0000000000
1326 36.0000000000
20000 23.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
53 32.0000000000
75 34.0000000000
224 35.0000000000
485 36.0000000000
5124 38.0000000000
19997 26.0000000000
evaluations raw_y
1 24.0000000000
2 29.0000000000
1058 30.0000000000
4163 32.0000000000
4317 33.0000000000
5062 34.0000000000
6425 35.0000000000
8326 36.0000000000
8481 37.0000000000
19999 21.0000000000
