evaluations raw_y
20598 43.0000000000
42208 35.0000000000
evaluations raw_y
1 26.0000000000
2 27.0000000000
9 28.0000000000
37 29.0000000000
57 30.0000000000
63 32.0000000000
842 33.0000000000
982 34.0000000000
1011 36.0000000000
2147 37.0000000000
2149 38.0000000000
2315 39.0000000000
2359 40.0000000000
2368 41.0000000000
3152 42.0000000000
3261 43.0000000000
3682 45.0000000000
42202 35.0000000000
evaluations raw_y
1 22.0000000000
3 29.0000000000
664 30.0000000000
988 31.0000000000
992 32.0000000000
1372 33.0000000000
1389 34.0000000000
1391 35.0000000000
1417 36.0000000000
1557 37.0000000000
1562 38.0000000000
1792 39.0000000000
1813 40.0000000000
1962 41.0000000000
1988 42.0000000000
35969 43.0000000000
36014 44.0000000000
39221 45.0000000000
42206 28.0000000000
evaluations raw_y
1 23.0000000000
2 31.0000000000
1979 32.0000000000
2010 33.0000000000
2015 34.0000000000
2121 36.0000000000
2199 37.0000000000
4074 38.0000000000
4279 39.0000000000
16394 40.0000000000
19629 42.0000000000
21180 43.0000000000
24365 44.0000000000
25123 45.0000000000
42208 34.0000000000
evaluations raw_y
1 28.0000000000
2 29.0000000000
35 30.0000000000
45 33.0000000000
71 34.0000000000
3135 35.0000000000
3510 36.0000000000
6566 37.0000000000
8633 39.0000000000
9202 40.0000000000
9367 41.0000000000
25341 42.0000000000
35061 43.0000000000
42200 33.0000000000
evaluations raw_y
1 32.0000000000
9 36.0000000000
1578 37.0000000000
1592 38.0000000000
2330 39.0000000000
2514 40.0000000000
18351 41.0000000000
18523 42.0000000000
18651 43.0000000000
38602 44.0000000000
42201 32.0000000000
evaluations raw_y
1 17.0000000000
2 20.0000000000
3 25.0000000000
4 29.0000000000
1359 30.0000000000
1403 31.0000000000
2150 32.0000000000
2309 33.0000000000
2324 34.0000000000
2339 35.0000000000
2695 36.0000000000
2754 37.0000000000
2948 38.0000000000
3117 39.0000000000
3302 40.0000000000
5585 41.0000000000
42204 31.0000000000
evaluations raw_y
1 24.0000000000
2 25.0000000000
3 30.0000000000
5 32.0000000000
843 33.0000000000
869 34.0000000000
1030 35.0000000000
2714 36.0000000000
3512 37.0000000000
3522 38.0000000000
3645 39.0000000000
4267 40.0000000000
17343 41.0000000000
17367 42.0000000000
17538 43.0000000000
17552 44.0000000000
42206 33.0000000000
evaluations raw_y
1 27.0000000000
3 30.0000000000
7 31.0000000000
1556 33.0000000000
1610 34.0000000000
1798 35.0000000000
2002 36.0000000000
2881 37.0000000000
2907 38.0000000000
4036 39.0000000000
4279 40.0000000000
4853 41.0000000000
10372 42.0000000000
20012 43.0000000000
20181 44.0000000000
20196 45.0000000000
42204 27.0000000000
evaluations raw_y
1 30.0000000000
22 31.0000000000
53 35.0000000000
103 36.0000000000
220 38.0000000000
234 39.0000000000
236 41.0000000000
10343 42.0000000000
42195 30.0000000000
evaluations raw_y
1 22.0000000000
4 28.0000000000
8 30.0000000000
409 31.0000000000
421 32.0000000000
605 33.0000000000
1018 34.0000000000
1209 35.0000000000
2319 36.0000000000
2354 37.0000000000
2531 38.0000000000
2562 39.0000000000
5208 40.0000000000
9349 41.0000000000
9356 42.0000000000
10519 43.0000000000
10872 44.0000000000
11436 45.0000000000
11440 46.0000000000
42206 25.0000000000
evaluations raw_y
1 25.0000000000
2 26.0000000000
6 27.0000000000
7 29.0000000000
9 30.0000000000
247 31.0000000000
483 32.0000000000
1357 34.0000000000
2378 35.0000000000
3153 36.0000000000
3315 37.0000000000
3900 38.0000000000
4024 39.0000000000
4025 40.0000000000
4041 41.0000000000
22351 42.0000000000
22470 43.0000000000
