evaluations raw_y
1 -470.0000000000
2 -328.0000000000
7 -315.0000000000
10 -302.0000000000
16 -180.0000000000
964 -174.0000000000
1117 -154.0000000000
1370 -114.0000000000
2141 -87.0000000000
3178 -81.0000000000
4204 -68.0000000000
4960 -61.0000000000
5015 -55.0000000000
5195 -42.0000000000
5365 -76.0000000000
evaluations raw_y
1 -215.0000000000
353 -195.0000000000
404 -175.0000000000
1094 -87.0000000000
1783 -80.0000000000
1883 -67.0000000000
2296 -61.0000000000
3313 -41.0000000000
3734 -28.0000000000
3824 -21.0000000000
5365 -61.0000000000
evaluations raw_y
1 -544.0000000000
2 -349.0000000000
10 -288.0000000000
19 -269.0000000000
26 -248.0000000000
809 -221.0000000000
992 -195.0000000000
1406 -188.0000000000
1601 -122.0000000000
1991 -102.0000000000
2377 -82.0000000000
3158 -62.0000000000
4034 -56.0000000000
4664 -55.0000000000
5365 -62.0000000000
evaluations raw_y
1 -363.0000000000
6 -329.0000000000
15 -255.0000000000
208 -254.0000000000
638 -241.0000000000
809 -227.0000000000
842 -208.0000000000
964 -201.0000000000
1160 -187.0000000000
1250 -140.0000000000
1508 -107.0000000000
1945 -101.0000000000
2174 -81.0000000000
2237 -74.0000000000
3758 -48.0000000000
4204 -29.0000000000
4988 -28.0000000000
5365 -23.0000000000
evaluations raw_y
1 -403.0000000000
3 -342.0000000000
16 -282.0000000000
19 -281.0000000000
21 -255.0000000000
1139 -235.0000000000
1601 -228.0000000000
2021 -188.0000000000
2072 -168.0000000000
2296 -161.0000000000
2696 -154.0000000000
2903 -134.0000000000
2933 -114.0000000000
3898 -101.0000000000
3914 -88.0000000000
4034 -48.0000000000
5230 -42.0000000000
5365 -68.0000000000
evaluations raw_y
1 -342.0000000000
4 -228.0000000000
905 -208.0000000000
1139 -201.0000000000
1217 -195.0000000000
1334 -188.0000000000
1540 -181.0000000000
1658 -161.0000000000
1931 -127.0000000000
2072 -107.0000000000
2674 -93.0000000000
3092 -88.0000000000
3473 -87.0000000000
3506 -81.0000000000
4031 -75.0000000000
4580 -68.0000000000
5176 -41.0000000000
5365 -68.0000000000
evaluations raw_y
1 -598.0000000000
2 -342.0000000000
5 -335.0000000000
6 -295.0000000000
11 -194.0000000000
23 -181.0000000000
1370 -174.0000000000
1711 -147.0000000000
2141 -113.0000000000
2657 -93.0000000000
3323 -80.0000000000
3365 -74.0000000000
4024 -73.0000000000
4070 -67.0000000000
4838 -54.0000000000
5365 -87.0000000000
evaluations raw_y
1 -329.0000000000
5 -262.0000000000
33 -255.0000000000
428 -228.0000000000
905 -222.0000000000
1070 -181.0000000000
1279 -168.0000000000
1406 -161.0000000000
1970 -154.0000000000
2000 -135.0000000000
2351 -121.0000000000
2773 -114.0000000000
2872 -101.0000000000
3358 -88.0000000000
3844 -87.0000000000
5288 -75.0000000000
5365 -75.0000000000
evaluations raw_y
1 -288.0000000000
5 -255.0000000000
10 -248.0000000000
31 -208.0000000000
353 -194.0000000000
704 -154.0000000000
1304 -147.0000000000
1441 -127.0000000000
1658 -121.0000000000
2141 -108.0000000000
2402 -88.0000000000
2657 -75.0000000000
3232 -69.0000000000
3439 -57.0000000000
4019 -42.0000000000
4172 -35.0000000000
5365 -62.0000000000
evaluations raw_y
1 -463.0000000000
2 -275.0000000000
4 -262.0000000000
20 -261.0000000000
23 -255.0000000000
239 -235.0000000000
584 -127.0000000000
992 -94.0000000000
1630 -89.0000000000
1805 -88.0000000000
1958 -62.0000000000
2107 -42.0000000000
4024 -16.0000000000
5365 -42.0000000000
evaluations raw_y
1 -349.0000000000
2 -315.0000000000
28 -202.0000000000
775 -188.0000000000
1370 -168.0000000000
1406 -148.0000000000
2015 -114.0000000000
3043 -94.0000000000
3332 -81.0000000000
3628 -74.0000000000
3929 -61.0000000000
4204 -48.0000000000
5356 -35.0000000000
5365 -48.0000000000
evaluations raw_y
1 -524.0000000000
2 -463.0000000000
3 -269.0000000000
16 -268.0000000000
31 -235.0000000000
740 -221.0000000000
1685 -134.0000000000
2237 -114.0000000000
2324 -108.0000000000
2872 -107.0000000000
3197 -88.0000000000
3628 -81.0000000000
4033 -75.0000000000
4265 -61.0000000000
4447 -42.0000000000
4622 -35.0000000000
5288 -21.0000000000
5365 -22.0000000000
evaluations raw_y
1 -443.0000000000
2 -356.0000000000
5 -302.0000000000
9 -281.0000000000
21 -214.0000000000
842 -201.0000000000
1180 -188.0000000000
1685 -161.0000000000
1991 -135.0000000000
2174 -128.0000000000
2402 -75.0000000000
3068 -61.0000000000
3332 -42.0000000000
3473 -11.0000000000
4235 3.0000000000
5365 -3.0000000000
evaluations raw_y
1 -632.0000000000
2 -463.0000000000
3 -228.0000000000
109 -141.0000000000
298 -121.0000000000
704 -120.0000000000
775 -108.0000000000
1540 -88.0000000000
2666 -81.0000000000
3092 -68.0000000000
3197 -60.0000000000
3844 -21.0000000000
5090 -15.0000000000
5365 -68.0000000000
evaluations raw_y
1 -430.0000000000
