evaluations raw_y
1 21.0000000000
2 23.0000000000
3 30.0000000000
1021 31.0000000000
2561 32.0000000000
2564 33.0000000000
4442 35.0000000000
4468 36.0000000000
20003 26.0000000000
evaluations raw_y
1 24.0000000000
2 25.0000000000
4 28.0000000000
5 30.0000000000
238 31.0000000000
657 32.0000000000
705 33.0000000000
2237 34.0000000000
2259 35.0000000000
19998 26.0000000000
evaluations raw_y
1 26.0000000000
3 27.0000000000
4 28.0000000000
9 29.0000000000
1036 31.0000000000
1061 32.0000000000
8683 33.0000000000
8761 35.0000000000
19999 27.0000000000
evaluations raw_y
1 24.0000000000
2 29.0000000000
4 31.0000000000
2624 33.0000000000
3017 34.0000000000
3058 35.0000000000
19997 17.0000000000
evaluations raw_y
1 23.0000000000
2 27.0000000000
5 29.0000000000
621 30.0000000000
2001 31.0000000000
11637 32.0000000000
11664 33.0000000000
12606 34.0000000000
12745 35.0000000000
16444 36.0000000000
20001 29.0000000000
evaluations raw_y
1 27.0000000000
2 29.0000000000
6 32.0000000000
816 33.0000000000
10036 34.0000000000
19995 27.0000000000
evaluations raw_y
1 16.0000000000
2 25.0000000000
3 28.0000000000
6 31.0000000000
1968 32.0000000000
2021 33.0000000000
2248 34.0000000000
13282 35.0000000000
13328 36.0000000000
20003 23.0000000000
evaluations raw_y
1 24.0000000000
2 27.0000000000
6 32.0000000000
5825 33.0000000000
8422 34.0000000000
8428 35.0000000000
20001 27.0000000000
evaluations raw_y
1 25.0000000000
2 33.0000000000
9418 34.0000000000
9445 35.0000000000
19998 26.0000000000
evaluations raw_y
1 27.0000000000
6 29.0000000000
37 30.0000000000
1022 31.0000000000
1055 32.0000000000
1078 34.0000000000
11659 35.0000000000
11678 37.0000000000
11707 38.0000000000
19999 29.0000000000
evaluations raw_y
1 22.0000000000
2 27.0000000000
4 31.0000000000
1624 32.0000000000
2671 33.0000000000
7005 34.0000000000
9712 35.0000000000
15311 36.0000000000
20006 29.0000000000
evaluations raw_y
1 24.0000000000
3 25.0000000000
6 29.0000000000
222 31.0000000000
342 32.0000000000
345 33.0000000000
10747 34.0000000000
18082 35.0000000000
18225 36.0000000000
18266 37.0000000000
20003 24.0000000000
evaluations raw_y
1 29.0000000000
18 30.0000000000
434 31.0000000000
443 32.0000000000
504 33.0000000000
1237 34.0000000000
1278 35.0000000000
1306 37.0000000000
7322 38.0000000000
20000 25.0000000000
evaluations raw_y
1 21.0000000000
2 25.0000000000
4 29.0000000000
2541 31.0000000000
3842 32.0000000000
9630 33.0000000000
9849 34.0000000000
9851 35.0000000000
9948 36.0000000000
10008 38.0000000000
20005 18.0000000000
evaluations raw_y
1 28.0000000000
20 29.0000000000
174 30.0000000000
200 32.0000000000
5562 33.0000000000
5605 34.0000000000
5659 35.0000000000
19998 25.0000000000
evaluations raw_y
1 22.0000000000
3 31.0000000000
2366 32.0000000000
10684 33.0000000000
13089 34.0000000000
13191 35.0000000000
13228 36.0000000000
13232 37.0000000000
13311 38.0000000000
20006 29.0000000000
evaluations raw_y
1 27.0000000000
20 28.0000000000
482 29.0000000000
520 30.0000000000
521 31.0000000000
558 33.0000000000
12900 34.0000000000
16140 36.0000000000
19998 22.0000000000
evaluations raw_y
1 20.0000000000
2 23.0000000000
3 27.0000000000
8 28.0000000000
198 29.0000000000
200 30.0000000000
543 31.0000000000
585 32.0000000000
586 33.0000000000
2583 34.0000000000
2626 35.0000000000
2668 37.0000000000
20004 24.0000000000
evaluations raw_y
1 23.0000000000
2 33.0000000000
3638 34.0000000000
7622 35.0000000000
19994 23.0000000000
evaluations raw_y
1 28.0000000000
2 29.0000000000
7 35.0000000000
19995 28.0000000000
