evaluations raw_y
1 -443.0000000000
5 -369.0000000000
6 -248.0000000000
1298 -234.0000000000
1697 -201.0000000000
2093 -194.0000000000
2123 -188.0000000000
2180 -181.0000000000
2282 -161.0000000000
2692 -154.0000000000
2753 -101.0000000000
3608 -82.0000000000
4097 -75.0000000000
4517 -61.0000000000
4727 -35.0000000000
5077 -108.0000000000
evaluations raw_y
1 -490.0000000000
2 -477.0000000000
3 -335.0000000000
13 -322.0000000000
16 -295.0000000000
22 -282.0000000000
1162 -248.0000000000
1367 -208.0000000000
1997 -141.0000000000
2753 -81.0000000000
3188 -61.0000000000
3493 -60.0000000000
4643 -54.0000000000
4727 -47.0000000000
5077 -114.0000000000
evaluations raw_y
1 -182.0000000000
73 -168.0000000000
203 -128.0000000000
892 -108.0000000000
1298 -68.0000000000
2543 -55.0000000000
3467 -54.0000000000
3518 -49.0000000000
3713 -28.0000000000
4258 -21.0000000000
5075 -15.0000000000
5077 -54.0000000000
evaluations raw_y
1 -437.0000000000
2 -356.0000000000
4 -329.0000000000
5 -328.0000000000
11 -269.0000000000
25 -268.0000000000
31 -255.0000000000
32 -195.0000000000
1262 -167.0000000000
1367 -114.0000000000
1697 -80.0000000000
2552 -67.0000000000
3104 -54.0000000000
3188 -34.0000000000
3293 -28.0000000000
4555 -21.0000000000
5149 -54.0000000000
evaluations raw_y
1 -268.0000000000
8 -208.0000000000
998 -180.0000000000
1295 -174.0000000000
1400 -141.0000000000
1738 -128.0000000000
2123 -88.0000000000
3122 -75.0000000000
3353 -68.0000000000
3790 -48.0000000000
4231 -41.0000000000
5149 -47.0000000000
evaluations raw_y
1 -571.0000000000
2 -328.0000000000
4 -241.0000000000
10 -201.0000000000
2555 -181.0000000000
2593 -175.0000000000
2627 -161.0000000000
3110 -154.0000000000
3167 -147.0000000000
3353 -128.0000000000
3542 -87.0000000000
4643 -67.0000000000
5077 -107.0000000000
evaluations raw_y
1 -356.0000000000
16 -343.0000000000
17 -235.0000000000
739 -194.0000000000
1331 -187.0000000000
1468 -100.0000000000
2066 -94.0000000000
2588 -87.0000000000
3070 -67.0000000000
3295 -47.0000000000
4492 -35.0000000000
4519 -34.0000000000
5084 -14.0000000000
5149 -81.0000000000
evaluations raw_y
1 -301.0000000000
26 -201.0000000000
107 -200.0000000000
770 -153.0000000000
998 -106.0000000000
1367 -86.0000000000
1550 -80.0000000000
1808 -74.0000000000
1850 -73.0000000000
3035 -53.0000000000
5113 -54.0000000000
evaluations raw_y
1 -329.0000000000
2 -295.0000000000
16 -275.0000000000
38 -228.0000000000
703 -215.0000000000
737 -201.0000000000
770 -194.0000000000
863 -188.0000000000
1288 -161.0000000000
1577 -154.0000000000
1775 -141.0000000000
2030 -134.0000000000
2348 -54.0000000000
2948 -48.0000000000
4463 -42.0000000000
4943 -36.0000000000
5113 -55.0000000000
evaluations raw_y
1 -403.0000000000
3 -255.0000000000
1045 -215.0000000000
1292 -188.0000000000
1775 -181.0000000000
1823 -147.0000000000
1837 -121.0000000000
1928 -120.0000000000
2188 -61.0000000000
3196 -35.0000000000
3818 -34.0000000000
3853 -28.0000000000
4400 -22.0000000000
4484 -15.0000000000
5149 -48.0000000000
evaluations raw_y
1 -436.0000000000
2 -410.0000000000
5 -377.0000000000
11 -315.0000000000
19 -295.0000000000
22 -207.0000000000
1775 -201.0000000000
1928 -181.0000000000
2422 -174.0000000000
2558 -154.0000000000
3167 -147.0000000000
3185 -127.0000000000
3188 -100.0000000000
4172 -47.0000000000
5077 -47.0000000000
evaluations raw_y
1 -396.0000000000
3 -363.0000000000
5 -269.0000000000
833 -268.0000000000
947 -228.0000000000
1367 -195.0000000000
1738 -188.0000000000
2387 -154.0000000000
2863 -147.0000000000
3152 -141.0000000000
3752 -114.0000000000
3887 -94.0000000000
4172 -67.0000000000
4973 -61.0000000000
5042 -54.0000000000
5077 -80.0000000000
evaluations raw_y
1 -443.0000000000
4 -248.0000000000
1298 -241.0000000000
1333 -201.0000000000
1963 -181.0000000000
2152 -147.0000000000
2692 -141.0000000000
3083 -127.0000000000
3173 -107.0000000000
4343 -74.0000000000
4987 -61.0000000000
5077 -94.0000000000
evaluations raw_y
1 -544.0000000000
2 -416.0000000000
3 -396.0000000000
8 -315.0000000000
29 -309.0000000000
947 -261.0000000000
1298 -255.0000000000
1675 -235.0000000000
1907 -234.0000000000
1918 -228.0000000000
2258 -201.0000000000
2327 -181.0000000000
2503 -161.0000000000
2627 -148.0000000000
3167 -141.0000000000
3467 -135.0000000000
3518 -121.0000000000
3790 -94.0000000000
4343 -61.0000000000
5033 -28.0000000000
5077 -48.0000000000
evaluations raw_y
1 -470.0000000000
2 -396.0000000000
7 -356.0000000000
15 -336.0000000000
16 -268.0000000000
1718 -255.0000000000
1775 -222.0000000000
1928 -215.0000000000
2030 -181.0000000000
2513 -134.0000000000
2782 -121.0000000000
2837 -81.0000000000
3503 -68.0000000000
3578 -47.0000000000
4418 -41.0000000000
5113 -94.0000000000
evaluations raw_y
1 -215.0000000000
38 -208.0000000000
172 -195.0000000000
317 -168.0000000000
1045 -161.0000000000
1145 -141.0000000000
1178 -121.0000000000
1262 -114.0000000000
1333 -94.0000000000
1522 -81.0000000000
2030 -74.0000000000
2368 -67.0000000000
2513 -48.0000000000
2782 -42.0000000000
3110 -28.0000000000
4295 -15.0000000000
4550 -14.0000000000
4778 -9.0000000000
5077 -35.0000000000
evaluations raw_y
1 -456.0000000000
3 -309.0000000000
15 -302.0000000000
17 -295.0000000000
29 -282.0000000000
1178 -281.0000000000
1193 -254.0000000000
1333 -221.0000000000
1367 -201.0000000000
1792 -187.0000000000
2123 -141.0000000000
2348 -74.0000000000
3196 -61.0000000000
3214 -48.0000000000
3448 -35.0000000000
3851 -9.0000000000
4024 -2.0000000000
5185 -2.0000000000
evaluations raw_y
1 -437.0000000000
2 -396.0000000000
3 -248.0000000000
26 -235.0000000000
1368 -228.0000000000
1464 -168.0000000000
1929 -154.0000000000
2369 -148.0000000000
2439 -121.0000000000
2724 -108.0000000000
2999 -101.0000000000
3384 -81.0000000000
3854 -55.0000000000
4908 -54.0000000000
5076 -35.0000000000
5078 -49.0000000000
evaluations raw_y
1 -255.0000000000
12 -175.0000000000
1232 -148.0000000000
1652 -141.0000000000
1718 -121.0000000000
2327 -55.0000000000
2558 -35.0000000000
3440 -22.0000000000
3983 -15.0000000000
5113 -15.0000000000
evaluations raw_y
1 -416.0000000000
3 -356.0000000000
11 -295.0000000000
19 -282.0000000000
25 -254.0000000000
1522 -200.0000000000
1963 -167.0000000000
2537 -140.0000000000
2723 -94.0000000000
3182 -73.0000000000
3188 -67.0000000000
3665 -61.0000000000
4312 -55.0000000000
4942 -23.0000000000
5077 -55.0000000000
