evaluations raw_y
1 -342.0000000000
6 -329.0000000000
7 -316.0000000000
11 -315.0000000000
118 -288.0000000000
146 -248.0000000000
155 -214.0000000000
215 -201.0000000000
290 -181.0000000000
311 -154.0000000000
356 -134.0000000000
368 -127.0000000000
410 -120.0000000000
433 -107.0000000000
485 -101.0000000000
541 -88.0000000000
560 -68.0000000000
641 -48.0000000000
748 -41.0000000000
766 -36.0000000000
776 -16.0000000000
860 -15.0000000000
5005 -416.0000000000
evaluations raw_y
1 -335.0000000000
5 -289.0000000000
20 -268.0000000000
91 -201.0000000000
101 -161.0000000000
143 -154.0000000000
221 -134.0000000000
281 -127.0000000000
305 -94.0000000000
343 -81.0000000000
401 -48.0000000000
433 -42.0000000000
491 -35.0000000000
541 -22.0000000000
581 -8.0000000000
665 -2.0000000000
695 3.0000000000
740 4.0000000000
5005 -409.0000000000
evaluations raw_y
1 -356.0000000000
5 -302.0000000000
8 -235.0000000000
245 -228.0000000000
298 -208.0000000000
311 -181.0000000000
401 -161.0000000000
455 -148.0000000000
485 -128.0000000000
500 -95.0000000000
748 -35.0000000000
793 -34.0000000000
820 -15.0000000000
946 -14.0000000000
1001 -1.0000000000
1076 4.0000000000
5005 -363.0000000000
evaluations raw_y
1 -564.0000000000
2 -403.0000000000
3 -349.0000000000
8 -302.0000000000
703 -295.0000000000
748 -268.0000000000
766 -215.0000000000
776 -188.0000000000
821 -181.0000000000
901 -120.0000000000
5005 -409.0000000000
evaluations raw_y
1 -369.0000000000
8 -355.0000000000
10 -295.0000000000
208 -288.0000000000
266 -221.0000000000
290 -154.0000000000
335 -134.0000000000
416 -114.0000000000
496 -88.0000000000
523 -75.0000000000
581 -55.0000000000
671 -35.0000000000
866 -22.0000000000
5005 -443.0000000000
evaluations raw_y
1 -538.0000000000
2 -289.0000000000
10 -268.0000000000
785 -248.0000000000
865 -228.0000000000
920 -221.0000000000
946 -201.0000000000
980 -187.0000000000
986 -154.0000000000
1001 -134.0000000000
1160 -121.0000000000
1198 -114.0000000000
1216 -95.0000000000
1243 -69.0000000000
1310 -56.0000000000
1441 -35.0000000000
1460 -29.0000000000
1565 -16.0000000000
5005 -336.0000000000
evaluations raw_y
1 -430.0000000000
2 -396.0000000000
3 -369.0000000000
7 -342.0000000000
311 -329.0000000000
335 -309.0000000000
356 -282.0000000000
413 -262.0000000000
470 -235.0000000000
515 -215.0000000000
560 -175.0000000000
626 -148.0000000000
680 -134.0000000000
725 -114.0000000000
731 -107.0000000000
748 -94.0000000000
890 -67.0000000000
935 -47.0000000000
965 -34.0000000000
1001 -28.0000000000
1126 -15.0000000000
5005 -396.0000000000
evaluations raw_y
1 -383.0000000000
2 -269.0000000000
4 -241.0000000000
2090 -228.0000000000
2143 -221.0000000000
2171 -201.0000000000
2213 -194.0000000000
2251 -167.0000000000
2270 -140.0000000000
2306 -134.0000000000
2330 -107.0000000000
2375 -87.0000000000
2465 -54.0000000000
2510 -34.0000000000
2651 -21.0000000000
5005 -402.0000000000
evaluations raw_y
1 -477.0000000000
3 -369.0000000000
4 -349.0000000000
5 -249.0000000000
811 -242.0000000000
851 -235.0000000000
866 -215.0000000000
883 -175.0000000000
911 -135.0000000000
986 -108.0000000000
1025 -100.0000000000
1088 -80.0000000000
1115 -54.0000000000
1448 -34.0000000000
1531 -21.0000000000
5005 -315.0000000000
evaluations raw_y
1 -498.0000000000
2 -483.0000000000
3 -423.0000000000
4 -396.0000000000
9 -356.0000000000
883 -335.0000000000
920 -308.0000000000
