evaluations raw_y
1 1.3007284079
11 1.3455328310
20 1.4450867052
46 1.6425755585
80 2.1079258010
110 2.1367521368
131 2.1968365554
155 2.7352297593
458 2.7839643653
491 2.9976019185
581 3.4626038781
5005 1.0271158587
evaluations raw_y
1 1.4863258026
41 1.8142235123
65 2.1079258010
170 2.4366471735
271 2.6427061311
5005 1.1916110582
evaluations raw_y
1 0.9881422925
4 1.8355359765
278 2.0525451560
365 2.1663778163
416 2.5562372188
470 3.2467532468
5005 0.9881422925
evaluations raw_y
1 1.3227513228
7 1.5762925599
11 1.6425755585
53 1.6778523490
56 1.6960651289
86 1.7146776406
163 2.1367521368
226 2.5562372188
323 2.5987525988
326 2.6427061311
361 2.7352297593
413 2.7839643653
5005 1.0407993339
evaluations raw_y
1 1.1737089202
2 1.6960651289
110 1.8355359765
145 1.9260400616
233 2.1663778163
5005 0.6124448800
evaluations raw_y
1 1.1071744907
2 1.6087516088
20 1.6425755585
56 1.7531556802
91 1.7934002869
140 2.4366471735
170 2.5150905433
208 2.5562372188
323 3.1806615776
5005 0.9758001561
evaluations raw_y
1 1.1071744907
2 1.7146776406
91 1.8355359765
215 2.2281639929
260 2.5562372188
395 2.8868360277
586 3.1172069825
5005 0.7926442613
evaluations raw_y
1 0.7471607890
2 1.3572204126
3 1.5151515152
9 1.9747235387
806 2.2935779817
818 2.6881720430
1070 2.7839643653
1076 2.8868360277
5005 0.6222000996
evaluations raw_y
1 0.6534239415
2 0.7331378299
3 1.4188422247
6 1.5299877601
278 1.7337031900
323 1.7730496454
335 2.1663778163
536 2.6881720430
5005 1.2007684918
evaluations raw_y
1 1.5451174289
11 1.7934002869
101 1.8796992481
233 2.0000000000
260 2.3277467412
281 3.0562347188
5005 1.0204081633
evaluations raw_y
1 1.2794268168
35 1.3572204126
65 1.4060742407
73 1.4318442153
95 1.5299877601
101 1.7337031900
185 2.0525451560
191 2.1079258010
271 2.1663778163
278 2.5562372188
350 2.7839643653
545 2.9411764706
5005 1.3455328310
evaluations raw_y
1 0.9238728751
2 1.1478420569
4 1.1649580615
5 1.6425755585
776 1.8796992481
1000 2.0525451560
1018 2.0798668885
1225 2.3992322457
1346 2.6881720430
5005 0.8579272478
evaluations raw_y
1 1.2794268168
11 1.5299877601
35 1.5605493134
80 2.1367521368
101 2.2281639929
131 2.2603978300
143 2.2935779817
155 2.7839643653
5005 1.3935340022
evaluations raw_y
1 1.6425755585
6 1.7531556802
80 2.0259319287
118 2.1663778163
191 2.7839643653
5005 1.0841283608
evaluations raw_y
1 1.4318442153
46 1.5605493134
86 1.5923566879
140 1.7146776406
170 1.7531556802
200 2.0525451560
5005 0.7436049970
evaluations raw_y
1 0.9637625289
4 1.0137875101
5 1.4318442153
8 1.7531556802
140 1.7730496454
146 1.9500780031
230 2.0798668885
451 2.1663778163
550 2.1968365554
586 2.3629489603
716 3.1172069825
5005 0.9077705156
evaluations raw_y
1 0.7846829881
2 1.4188422247
260 1.5151515152
290 2.1079258010
515 2.3992322457
560 2.6427061311
5005 1.3007284079
evaluations raw_y
1 1.6087516088
6 1.6600265604
28 1.7146776406
118 1.9260400616
233 2.1968365554
245 2.2935779817
281 2.7352297593
5005 1.2291052114
evaluations raw_y
1 1.0204081633
5 1.3572204126
6 1.5299877601
35 1.7934002869
118 1.8573551263
146 1.9260400616
230 2.0525451560
370 2.0798668885
461 2.6881720430
5005 0.7507507508
evaluations raw_y
1 1.3572204126
5 1.5451174289
20 1.6960651289
98 1.9500780031
101 2.1367521368
226 2.2935779817
5005 1.0841283608
