evaluations raw_y
740 -149.0000000000
775 -147.0000000000
1315 -134.0000000000
1601 -114.0000000000
1981 -94.0000000000
2107 -87.0000000000
2377 -81.0000000000
2426 -74.0000000000
2687 -48.0000000000
2807 -28.0000000000
3989 -8.0000000000
5321 4.0000000000
5365 -15.0000000000
evaluations raw_y
1 -409.0000000000
2 -329.0000000000
8 -309.0000000000
10 -262.0000000000
19 -235.0000000000
28 -208.0000000000
1217 -194.0000000000
1370 -175.0000000000
1508 -141.0000000000
2141 -114.0000000000
2738 -101.0000000000
3439 -95.0000000000
3824 -75.0000000000
4034 -55.0000000000
4172 -35.0000000000
5311 -29.0000000000
5365 -75.0000000000
