evaluations raw_y
1 1.3007284079
11 1.3455328310
20 1.4450867052
46 1.6425755585
80 2.1079258010
110 2.1367521368
131 2.1968365554
155 2.7352297593
458 2.7839643653
491 2.9976019185
581 3.4626038781
1445 3.6231884058
1810 3.8940809969
5005 1.5151515152
evaluations raw_y
1 1.4863258026
41 1.8142235123
65 2.1079258010
170 2.4366471735
271 2.6427061311
671 2.7839643653
676 3.1172069825
2345 3.4626038781
3646 3.5410764873
4285 3.9936102236
5005 3.9936102236
evaluations raw_y
1 0.9881422925
4 1.8355359765
170 1.9025875190
215 2.2935779817
266 2.3277467412
278 2.3629489603
316 2.9411764706
365 3.1806615776
1045 3.3156498674
5005 2.7352297593
evaluations raw_y
1 1.3227513228
7 1.5762925599
11 1.6425755585
53 1.6778523490
56 1.6960651289
86 1.7146776406
163 2.1367521368
226 2.5562372188
323 2.5987525988
326 2.6427061311
361 2.7352297593
413 2.7839643653
593 3.0562347188
671 3.2467532468
953 3.7091988131
2291 3.7993920973
5005 2.3629489603
evaluations raw_y
1 1.1737089202
2 1.6960651289
125 1.9260400616
163 2.1079258010
170 2.1968365554
388 2.4366471735
683 2.7352297593
830 2.7839643653
838 2.8868360277
1603 3.4626038781
1655 3.8940809969
1895 4.7169811321
5005 4.3252595156
evaluations raw_y
1 1.1071744907
2 1.6087516088
20 1.6425755585
56 1.7531556802
91 1.7934002869
140 2.4366471735
170 2.5150905433
208 2.5562372188
323 3.1806615776
2465 3.2467532468
4145 3.7091988131
5005 2.6427061311
evaluations raw_y
1 1.1071744907
2 1.7146776406
91 1.8355359765
215 2.2281639929
260 2.5562372188
395 2.8868360277
586 3.1172069825
1513 3.1806615776
1720 3.2467532468
1846 3.6231884058
2336 3.9936102236
5005 3.3156498674
evaluations raw_y
1 0.7471607890
2 1.3572204126
3 1.5151515152
9 1.9747235387
226 2.0259319287
271 2.4752475248
335 2.5150905433
350 2.5562372188
956 2.8344671202
1513 3.2467532468
3611 3.3875338753
3898 3.4626038781
4051 3.6231884058
4835 3.7993920973
5005 3.7993920973
evaluations raw_y
1 0.6534239415
2 0.7331378299
3 1.4188422247
6 1.5299877601
73 1.5451174289
131 2.0000000000
370 2.2281639929
455 2.6881720430
500 2.9411764706
1145 2.9976019185
1205 3.6231884058
3650 3.7091988131
5005 3.3156498674
evaluations raw_y
1 1.5451174289
11 1.7934002869
101 1.8796992481
233 2.0000000000
260 2.3277467412
281 3.0562347188
593 3.1806615776
1171 3.6231884058
1595 3.7091988131
5005 1.6425755585
evaluations raw_y
1 1.2794268168
35 1.3572204126
65 1.4060742407
73 1.4318442153
95 1.5299877601
101 1.7337031900
185 2.0525451560
191 2.1079258010
271 2.1663778163
278 2.5562372188
350 2.7839643653
596 2.9411764706
908 3.2467532468
1045 3.5410764873
1181 3.8940809969
5005 3.4626038781
evaluations raw_y
1 0.9238728751
2 1.1478420569
4 1.1649580615
5 1.6425755585
146 2.0525451560
221 2.1079258010
253 2.1968365554
370 2.2603978300
413 2.8344671202
766 2.9976019185
946 3.0562347188
3776 3.1172069825
4106 3.1806615776
4733 3.2467532468
5005 3.2467532468
evaluations raw_y
1 1.2794268168
11 1.5299877601
35 1.5605493134
80 2.1367521368
101 2.2281639929
131 2.2603978300
143 2.2935779817
155 2.7839643653
440 2.8868360277
500 3.0562347188
1045 3.8940809969
2246 4.3252595156
5005 4.3252595156
evaluations raw_y
1 1.6425755585
6 1.7531556802
56 1.7934002869
110 2.0798668885
191 2.1367521368
260 2.5150905433
370 2.6427061311
793 3.1806615776
1180 3.2467532468
5005 2.9976019185
evaluations raw_y
1 1.4318442153
46 1.5605493134
86 1.5923566879
140 1.7146776406
170 1.7531556802
200 2.0525451560
325 2.2603978300
326 2.5987525988
371 3.1172069825
1301 3.2467532468
2458 3.6231884058
2521 3.7993920973
5005 3.7993920973
evaluations raw_y
1 0.9637625289
4 1.0137875101
5 1.4318442153
8 1.7531556802
91 1.7934002869
98 1.9747235387
176 2.1079258010
181 2.5562372188
365 2.5987525988
650 2.7839643653
761 2.8868360277
986 2.9976019185
1243 3.2467532468
1361 3.4626038781
1538 3.5410764873
1603 4.0983606557
5005 4.0983606557
evaluations raw_y
1 0.7846829881
2 1.4188422247
56 1.5006002401
131 1.7337031900
176 2.0259319287
290 2.3277467412
541 2.5150905433
710 2.5562372188
776 2.7839643653
1265 3.1806615776
4528 3.2467532468
5005 3.2467532468
evaluations raw_y
1 1.6087516088
6 1.6600265604
28 1.7146776406
118 1.9260400616
233 2.1968365554
245 2.2935779817
281 2.7352297593
560 2.9411764706
838 3.7993920973
5005 3.2467532468
evaluations raw_y
1 1.0204081633
5 1.3572204126
6 1.5299877601
35 1.7934002869
118 1.8573551263
146 1.9260400616
230 2.0525451560
281 2.1968365554
425 2.6427061311
461 2.7839643653
883 2.9411764706
941 3.3156498674
1423 3.8940809969
5005 3.0562347188
evaluations raw_y
1 1.3572204126
5 1.5451174289
20 1.6960651289
98 1.9500780031
101 2.1367521368
226 2.1663778163
335 2.2281639929
530 2.9976019185
590 4.3252595156
5005 4.3252595156
