evaluations raw_y
1 -443.0000000000
2 -355.0000000000
4 -302.0000000000
13 -262.0000000000
874 -255.0000000000
964 -248.0000000000
1094 -222.0000000000
1736 -141.0000000000
2206 -121.0000000000
2324 -120.0000000000
2636 -101.0000000000
2773 -94.0000000000
3263 -61.0000000000
4235 -54.0000000000
4510 -42.0000000000
5365 -42.0000000000
evaluations raw_y
1 -389.0000000000
5 -282.0000000000
6 -268.0000000000
109 -242.0000000000
992 -202.0000000000
1601 -188.0000000000
1658 -168.0000000000
1945 -155.0000000000
2324 -134.0000000000
2377 -74.0000000000
3365 -62.0000000000
3734 -61.0000000000
5365 -127.0000000000
evaluations raw_y
1 -369.0000000000
5 -295.0000000000
20 -248.0000000000
514 -221.0000000000
740 -201.0000000000
874 -195.0000000000
1217 -194.0000000000
1279 -181.0000000000
1540 -161.0000000000
2035 -127.0000000000
2377 -107.0000000000
2692 -74.0000000000
3068 -47.0000000000
3599 -28.0000000000
5365 -48.0000000000
evaluations raw_y
1 -222.0000000000
1139 -188.0000000000
1441 -128.0000000000
2036 -121.0000000000
2549 -108.0000000000
3137 -101.0000000000
3277 -88.0000000000
3365 -81.0000000000
4013 -74.0000000000
4564 -61.0000000000
5356 -60.0000000000
5363 -48.0000000000
5365 -101.0000000000
evaluations raw_y
1 -302.0000000000
2 -261.0000000000
19 -228.0000000000
29 -208.0000000000
704 -167.0000000000
1180 -102.0000000000
2026 -95.0000000000
3092 -75.0000000000
4529 -56.0000000000
4595 -49.0000000000
5156 -36.0000000000
5365 -69.0000000000
evaluations raw_y
1 -383.0000000000
5 -342.0000000000
7 -295.0000000000
12 -248.0000000000
30 -234.0000000000
353 -168.0000000000
638 -167.0000000000
740 -161.0000000000
935 -121.0000000000
1349 -100.0000000000
1958 -68.0000000000
2237 -62.0000000000
2962 -49.0000000000
3365 -48.0000000000
3709 -42.0000000000
3956 -36.0000000000
3998 -30.0000000000
4349 -29.0000000000
4490 -28.0000000000
4547 -23.0000000000
4685 -16.0000000000
5090 1.0000000000
5365 -29.0000000000
evaluations raw_y
1 -416.0000000000
11 -396.0000000000
13 -343.0000000000
14 -241.0000000000
704 -201.0000000000
740 -188.0000000000
1441 -134.0000000000
2426 -114.0000000000
2840 -62.0000000000
3683 -61.0000000000
4172 -48.0000000000
4655 -42.0000000000
4838 -41.0000000000
5365 -81.0000000000
evaluations raw_y
1 -315.0000000000
4 -235.0000000000
775 -148.0000000000
1441 -135.0000000000
2377 -134.0000000000
2426 -115.0000000000
2531 -89.0000000000
3092 -82.0000000000
3358 -81.0000000000
3365 -68.0000000000
3683 -62.0000000000
3863 -54.0000000000
3881 -48.0000000000
4424 -35.0000000000
4622 -34.0000000000
4694 -22.0000000000
5176 -15.0000000000
5365 -15.0000000000
evaluations raw_y
1 -403.0000000000
2 -396.0000000000
7 -375.0000000000
10 -349.0000000000
13 -255.0000000000
379 -235.0000000000
809 -221.0000000000
905 -188.0000000000
1601 -181.0000000000
1826 -169.0000000000
1931 -154.0000000000
2267 -134.0000000000
2597 -114.0000000000
2962 -87.0000000000
3439 -61.0000000000
4375 -55.0000000000
4580 -48.0000000000
4838 -42.0000000000
5365 -122.0000000000
evaluations raw_y
1 -470.0000000000
2 -410.0000000000
3 -403.0000000000
4 -369.0000000000
8 -349.0000000000
14 -261.0000000000
15 -228.0000000000
905 -188.0000000000
1315 -155.0000000000
1441 -128.0000000000
1958 -94.0000000000
2008 -80.0000000000
2933 -42.0000000000
3803 -36.0000000000
4006 -16.0000000000
5365 -42.0000000000
evaluations raw_y
1 -315.0000000000
22 -302.0000000000
964 -268.0000000000
1070 -180.0000000000
1805 -167.0000000000
1846 -140.0000000000
2036 -100.0000000000
3277 -74.0000000000
3538 -42.0000000000
4609 -29.0000000000
5365 -82.0000000000
evaluations raw_y
1 -463.0000000000
3 -308.0000000000
18 -255.0000000000
1265 -221.0000000000
1540 -180.0000000000
2237 -167.0000000000
2692 -140.0000000000
2933 -134.0000000000
3347 -127.0000000000
3404 -108.0000000000
3439 -88.0000000000
4031 -74.0000000000
4424 -41.0000000000
4960 -35.0000000000
5090 -34.0000000000
5365 -54.0000000000
evaluations raw_y
1 -369.0000000000
5 -329.0000000000
7 -302.0000000000
18 -261.0000000000
740 -255.0000000000
809 -235.0000000000
935 -214.0000000000
992 -168.0000000000
1475 -135.0000000000
2402 -128.0000000000
2696 -108.0000000000
3781 -102.0000000000
3998 -95.0000000000
4672 -88.0000000000
4699 -82.0000000000
5275 -81.0000000000
5365 -88.0000000000
evaluations raw_y
1 -396.0000000000
2 -241.0000000000
21 -215.0000000000
704 -161.0000000000
1180 -127.0000000000
1630 -115.0000000000
1658 -101.0000000000
2000 -94.0000000000
2611 -81.0000000000
2666 -61.0000000000
4547 -55.0000000000
4771 -48.0000000000
5365 -62.0000000000
evaluations raw_y
1 -463.0000000000
2 -403.0000000000
4 -315.0000000000
5 -242.0000000000
18 -208.0000000000
1019 -181.0000000000
1250 -94.0000000000
1826 -74.0000000000
1991 -61.0000000000
2072 -60.0000000000
2531 -47.0000000000
4694 -41.0000000000
5275 -20.0000000000
5365 -67.0000000000
evaluations raw_y
1 -571.0000000000
2 -356.0000000000
3 -335.0000000000
6 -309.0000000000
15 -228.0000000000
842 -208.0000000000
964 -175.0000000000
992 -134.0000000000
1991 -115.0000000000
2072 -101.0000000000
2699 -68.0000000000
3362 -55.0000000000
3569 -16.0000000000
5365 -34.0000000000
evaluations raw_y
1 -376.0000000000
4 -349.0000000000
9 -275.0000000000
15 -262.0000000000
451 -181.0000000000
668 -174.0000000000
905 -161.0000000000
935 -134.0000000000
1475 -120.0000000000
2008 -101.0000000000
2666 -94.0000000000
3197 -87.0000000000
3404 -47.0000000000
4672 -41.0000000000
4694 -28.0000000000
5365 -74.0000000000
evaluations raw_y
1 -316.0000000000
5 -289.0000000000
514 -281.0000000000
551 -268.0000000000
842 -248.0000000000
1019 -228.0000000000
1279 -181.0000000000
1370 -127.0000000000
2597 -114.0000000000
2611 -87.0000000000
2702 -81.0000000000
3365 -61.0000000000
3734 -28.0000000000
5365 -28.0000000000
evaluations raw_y
1 -463.0000000000
2 -396.0000000000
6 -356.0000000000
8 -222.0000000000
704 -201.0000000000
740 -180.0000000000
1304 -174.0000000000
1349 -161.0000000000
1540 -154.0000000000
1685 -140.0000000000
2471 -120.0000000000
2624 -108.0000000000
3043 -87.0000000000
3362 -54.0000000000
3569 -41.0000000000
3979 -35.0000000000
5176 -21.0000000000
5365 -35.0000000000
evaluations raw_y
1 -490.0000000000
3 -389.0000000000
5 -315.0000000000
6 -295.0000000000
16 -255.0000000000
326 -195.0000000000
533 -188.0000000000
704 -141.0000000000
1364 -128.0000000000
1441 -74.0000000000
2377 -67.0000000000
2699 -54.0000000000
2807 -42.0000000000
3404 -10.0000000000
4469 -4.0000000000
5090 -3.0000000000
5365 -16.0000000000
